data_year,property_name,reporting_status,address,zip_code,chicago_energy_rating,exempt_from_chicago_energy_rating,community_area,primary_property_type,gross_floor_area,year_built,number_of_buildings,water_use,energy_star_score,electricity_use,natural_gas_use,district_steam_use,district_chilled_water_use,all_other_fuel_use,site_eui,source_eui,weather_normalized_site_eui,weather_normalized_source_eui,total_ghg_emissions,ghg_intensity,lat,lon,loc
2020,Mansueto Library,Submitted Data,1100 E 57th St,60637,2.0,False,HYDE PARK,Library,64028.0,2009.0,1.0,,,2384738.9,,7438787.0,5594040.1,,240.8,323.6,246.0,329.9,1160.9,18.1,41.79221307,-87.59994981,"(41.79221307, -87.59994981)"
2020,Harper Square Cooperative,Submitted Data,4800 - 4850 S Lake Park Ave,60615,1.0,False,KENWOOD,Multifamily Housing,627680.0,1974.0,1.0,,22.0,16397682.8,43537490.6,,,,95.5,146.0,100.3,150.7,4871.7,7.8,41.80747487,-87.59126397,"(41.80747487, -87.59126397)"
2020,Former Coyne College,Submitted Data,330 N Green St,60607,2.0,False,NEAR WEST SIDE,Office,555524.0,2019.0,1.0,,49.0,28606427.7,2199940.1,,,,55.5,148.3,56.7,151.8,4581.4,8.2,41.873335,-87.65102071,"(41.873335, -87.65102071)"
2020,400 W Superior St,Submitted Data,400 W Superior St,60654,3.0,False,NEAR NORTH SIDE,Office,130007.0,1998.0,1.0,,61.0,6489281.3,1493523.2,,,,61.4,151.8,63.0,154.8,1092.1,8.4,41.89575232,-87.638901,"(41.89575232, -87.638901)"
2020,Blue Moon Lofts,Submitted Data,215 N. Aberdeen St.,60607,4.0,False,NEAR WEST SIDE,Multifamily Housing,83000.0,1908.0,1.0,,100.0,1614582.3,825006.6,,,,29.4,64.9,29.6,64.3,295.8,3.6,41.87429514,-87.65017516,"(41.87429514, -87.65017516)"
2020,"Ambulatory Care Center, St. Bernard Hospital",Submitted Data,6307 S STEWART AVE,60621,2.5,False,Englewood,Medical Office,98018.0,2016.0,1.0,,59.0,4204723.5,2236782.3,,,,96.7,211.9,98.0,212.8,775.0,11.6,41.77391183,-87.63872071,"(41.77391183, -87.63872071)"
2020,Children's Memorial Hospital sub-building,Not Submitted,700 W Fullerton Ave,60614,0.0,False,LINCOLN PARK,,257400.0,,,,,,,,,,,,,,,,41.92548708,-87.64643712,"(41.92548708, -87.64643712)"
2020,,Submitted Data,900 North Michigan,60611,,True,NEAR NORTH SIDE,Mixed Use Property,2731896.0,1989.0,1.0,,,123364979.3,29220664.4,,,,71.4,176.0,74.5,184.0,20805.5,9.7,41.89920885,-87.62650606,"(41.89920885, -87.62650606)"
2020,Hilliard Homes Limited Partnership (Senior),Submitted Data,2111 S Clark Ave,60616,3.5,False,NEAR SOUTH SIDE,Multifamily Housing,311326.0,1966.0,2.0,,75.0,4993793.0,15777294.8,,,,80.1,117.8,82.9,120.3,1617.4,6.2,41.853983,-87.630083,"(41.853983, -87.630083)"
2020,901 South Plymouth Condominium Association,Submitted Data,901 S Plymouth Ct,60605,3.5,False,Loop,Multifamily Housing,199600.0,1979.0,1.0,,58.0,5821462.7,4643106.7,,,,64.7,131.0,68.7,139.8,1155.2,7.1,41.8682103,-87.62733,"(41.8682103, -87.62733)"
2020,Chalet Living and Rehab,Submitted Data,7350 7352 N SHERIDAN RD,60626,1.0,False,ROGERS PARK,Senior Living Community,77004.0,1976.0,1.0,,7.0,3786934.1,11175808.0,,,,223.3,333.4,238.0,347.3,1184.6,17.7,42.01036185,-87.66829765,"(42.01036185, -87.66829765)"
2020,Gage Park,Submitted Data,2411 W 55th St,60632,2.0,False,GAGE PARK,Other - Recreation,64960.0,1926.0,1.0,,,847144.0,6955745.2,,,,132.3,164.1,142.2,174.5,501.7,8.5,41.79382847,-87.68432907,"(41.79382847, -87.68432907)"
2020,,Submitted Data,4434 4444 N Damen Ave,60625,2.5,False,North Center,Multifamily Housing,53800.0,2006.0,1.0,,51.0,2985049.6,5693982.0,,,,78.2,129.2,81.2,133.1,768.3,6.9,41.9720897,-87.70256,"(41.9720897, -87.70256)"
2020,"Thorp Scholastic Academy, Ole A -CPS",Submitted Data,6024 W Warwick Ave,60634,4.0,False,DUNNING,K-12 School,93200.0,1918.0,1.0,,61.0,1246831.5,5832379.9,,,,76.0,103.2,86.5,114.3,504.4,5.4,41.94895308,-87.77785435,"(41.94895308, -87.77785435)"
2020,River East Center Campus,Submitted Data,322 E Illinois St,60611,1.0,False,NEAR NORTH SIDE,Mixed Use Property,1975361.0,2001.0,1.0,,20.0,64410587.3,102156516.4,,,,110.2,190.3,111.5,191.4,15478.5,10.2,41.8914469,-87.61889748,"(41.8914469, -87.61889748)"
2020,,Submitted Data,1611  W DIVISION ST,60622,4.0,False,WEST TOWN,Multifamily Housing,112734.0,2013.0,1.0,,81.0,2292017.8,4175204.4,,,,59.4,99.2,59.8,100.2,579.5,5.3,41.90225377,-87.68447845,"(41.90225377, -87.68447845)"
2020,500 W Monroe,Submitted Data,500 W Monroe,60661,1.0,False,NEAR WEST SIDE,Office,1554884.0,1992.0,1.0,,29.0,98139027.4,,,,,85.5,239.3,92.1,257.8,15316.5,13.3,41.880609,-87.639778,"(41.880609, -87.639778)"
2020,,Submitted Data,4845 4859 N MAGNOLIA AVE,60640,4.0,False,UPTOWN,Multifamily Housing,50986.0,1916.0,1.0,,75.0,417741.4,3243596.1,,,,71.8,89.7,76.5,94.7,237.5,4.7,41.97223008,-87.6645957,"(41.97223008, -87.6645957)"
2020,Lloyd Elementary -CPS,Submitted Data,2103 N Lamon Ave,60639,2.5,False,BELMONT CRAGIN,K-12 School,150436.0,1907.0,1.0,,32.0,4506708.5,7731610.1,,,,81.4,137.8,88.0,144.8,1114.0,7.4,41.91901757,-87.74788079,"(41.91901757, -87.74788079)"
2020,,Submitted Data,1617 1633 W BELMONT AVE,60657,3.0,False,LAKE VIEW,Multifamily Housing,56880.0,1928.0,1.0,,47.0,652896.4,4629361.5,,,,92.9,117.6,103.1,127.7,347.8,6.1,41.9398511,-87.65844752,"(41.9398511, -87.65844752)"
2020,,Submitted Data,3470  N LAKE SHORE DR,60657,3.0,False,LAKE VIEW,Multifamily Housing,155144.0,1968.0,1.0,,67.0,2550176.6,7203545.7,,,,73.6,111.0,77.6,115.2,780.6,5.9,41.9398511,-87.65844752,"(41.9398511, -87.65844752)"
2020,Michael A. Bilandic Building,Submitted Data,160 N LaSalle St,60601,4.0,False,LOOP,Office,464498.0,1920.0,1.0,,79.0,13045901.7,12600101.5,,,,55.2,107.1,57.7,109.8,2705.3,5.8,41.88474397,-87.63249596,"(41.88474397, -87.63249596)"
2020,"Fifth Praire Shores, LLC",Submitted Data,2801 S King Dr,60616,1.0,False,DOUGLAS,Multifamily Housing,289267.0,1960.0,1.0,,21.0,4709257.4,32647070.7,,,,129.1,164.1,137.5,172.9,2469.0,8.5,41.84364282,-87.61673336,"(41.84364282, -87.61673336)"
2020,NEMA Chicago,Submitted Data,1200 S Indiana Ave,60605,3.5,False,Near South Side,Multifamily Housing,1343820.0,2019.0,1.0,,60.0,32621765.2,38781158.3,,,,64.3,118.9,65.2,117.8,7151.1,6.4,41.865858,-87.6195328,"(41.865858, -87.6195328)"
2020,Clybourn1200,Submitted Data,454 W DIVISION ST,60610,2.0,False,Near North Side,Multifamily Housing,159968.0,2017.0,1.0,,50.0,3595190.0,6327708.9,,,,75.4,126.9,77.9,130.5,897.2,6.8,41.9037676,-87.63983401,"(41.9037676, -87.63983401)"
2020,"Rudolph, Wilma Elementary Learning Center/ Hope Institute -CPS",Submitted Data,1628 W Washington Blvd,60612,4.0,False,NEAR WEST SIDE,K-12 School,263250.0,1928.0,1.0,,79.0,4772375.0,7730980.2,,,,47.5,81.6,49.4,83.6,1155.5,4.4,41.88332,-87.667592,"(41.88332, -87.667592)"
2020,McGowan South,Submitted Data,1110 W Belden,60614,1.0,False,LINCOLN PARK,College/University,127900.0,2008.0,1.0,,,9262579.9,12478551.7,,,,170.0,305.2,175.1,309.5,2108.4,16.5,41.92382673,-87.65658512,"(41.92382673, -87.65658512)"
2020,,Submitted Data,321 339 S DESPLAINES ST,60661,2.0,False,NEAR WEST SIDE,Multifamily Housing,178336.0,1924.0,1.0,,43.0,5499154.7,7444594.3,,,,72.6,130.2,74.9,132.2,1253.7,7.0,41.88321395,-87.64336601,"(41.88321395, -87.64336601)"
2020,Residences at the VIC,Submitted Data,3140 N Sheffield Ave,60657,4.0,False,Lake View,Multifamily Housing,148500.0,2007.0,1.0,,100.0,1555012.2,2847150.0,,,,37.4,62.4,38.8,64.1,393.9,3.3,41.9393396,-87.65423,"(41.9393396, -87.65423)"
2020,Holy Cross Hospial,Submitted Data,2701 W 68th St,60629,4.0,False,CHICAGO LAWN,Hospital (General Medical & Surgical),409910.0,1911.0,1.0,,76.0,5050093.6,130271002.2,,,,330.1,368.2,,,7707.5,18.8,41.770003,-87.690841,"(41.770003, -87.690841)"
2020,LaSalle Terrace Condominium Association,Submitted Data,1540 N LaSalle St,60610,2.5,False,NEAR NORTH SIDE,Multifamily Housing,166700.0,1976.0,1.0,,36.0,4079885.6,8584849.7,,,,83.9,135.3,87.4,138.8,1092.7,7.2,41.91023785,-87.63363509,"(41.91023785, -87.63363509)"
2020,Lakeside Lofts,Submitted Data,2025  S INDIANA AVE,60616,4.0,False,NEAR SOUTH SIDE,Multifamily Housing,101333.0,2006.0,1.0,,89.0,1761482.5,5144159.1,,,,68.1,102.0,70.5,104.1,548.1,5.4,41.84550365,-87.63055693,"(41.84550365, -87.63055693)"
2020,Smyser -CPS,Submitted Data,4310 N Melvina Ave,60634,4.0,False,PORTAGE PARK,K-12 School,78111.0,1932.0,1.0,,64.0,1313825.7,3965590.1,,,,67.6,100.4,75.7,109.6,415.7,5.3,41.95925122,-87.78261967,"(41.95925122, -87.78261967)"
2020,,Submitted Data,832 890 W 103RD ST,60643,1.5,False,WASHINGTON HEIGHTS,Senior Living Community,65505.0,2001.0,1.0,,36.0,1807114.6,4835400.0,,,,101.4,154.8,105.1,157.9,538.9,8.2,41.6981819,-87.66236671,"(41.6981819, -87.66236671)"
2020,Fairbanks at Cityfront Plaza,Submitted Data,240 E Illinois St,60611,4.0,False,NEAR NORTH SIDE,Multifamily Housing,819946.0,2006.0,1.0,,70.0,18128454.4,42229277.5,,,,102.0,160.6,104.8,163.9,5072.3,8.6,41.89139925,-87.62079715,"(41.89139925, -87.62079715)"
